action: resupply[$c1],action: resupply[$c2],action: resupply[$c3],action: resupply[$c4],states: quant[$c1],states: quant[$c2],states: quant[$c3],states: quant[$c4]
0,71,0,385,313,10,187,10
288,151,0,0,308,3,185,5
0,36,458,0,317,0,183,0
0,70,287,0,312,7,188,0
0,143,186,0,307,7,193,0
167,0,331,0,302,7,198,0
468,0,0,0,304,0,196,0
92,0,0,342,306,0,194,0
0,0,442,36,308,0,192,0
0,486,0,0,303,0,197,7
0,0,0,481,298,6,195,1
0,0,491,0,293,0,193,14
0,365,85,0,288,0,204,8
0,166,99,181,283,13,215,2
7,0,348,22,278,9,217,4
0,376,32,0,280,1,219,4
176,0,48,197,275,8,225,0
284,0,106,0,277,0,223,0
0,382,30,0,279,0,221,0
0,499,0,0,274,7,226,0
498,0,0,0,0,0,0,0
295,0,0,0,498,0,0,0
137,0,237,0,500,0,0,0
50,69,0,215,500,0,0,0
0,484,0,0,500,0,0,0
77,0,295,0,495,5,0,0
0,0,43,328,500,0,0,0
77,119,47,0,495,0,5,5
161,0,329,0,497,0,3,0
10,93,0,387,499,0,1,0
23,0,0,380,500,0,0,0
0,0,269,191,500,0,0,0
168,166,85,0,495,0,5,5
0,178,0,286,497,0,3,0
73,89,0,124,492,7,1,7
0,345,141,13,499,0,0,1
314,0,0,103,494,6,6,6
0,363,0,45,496,0,4,0
139,43,110,84,491,7,2,7
241,255,0,0,499,0,0,1
0,64,402,2,500,0,0,0
374,0,107,0,495,5,5,2
308,0,42,65,497,0,3,0
0,0,0,492,499,0,1,0
0,81,55,364,494,0,0,6
0,370,0,0,489,11,11,11
224,0,271,0,484,3,9,5
50,0,0,438,493,0,7,0
57,0,382,0,495,0,5,0
0,109,269,36,497,0,3,0
0,255,98,44,492,7,8,7
0,152,7,0,487,6,12,7
427,0,0,0,482,7,17,1
0,460,12,0,485,0,15,0
304,0,0,0,480,7,20,0
0,304,0,194,482,0,18,0
0,0,0,293,477,7,16,7
220,0,0,166,472,0,14,14
196,189,0,76,480,0,12,8
0,0,27,448,488,0,10,2
0,0,81,253,483,0,17,9
72,0,0,293,478,0,19,7
95,0,334,39,482,0,17,1
62,93,225,0,485,0,15,0
359,100,0,0,487,0,13,0
8,0,100,288,489,0,11,0
0,33,296,3,491,0,9,0
0,490,0,0,486,7,14,3
0,0,0,455,481,7,12,0
164,37,0,246,476,0,10,14
0,408,0,24,484,0,8,8
0,0,183,0,479,13,6,15
0,3,121,181,474,5,12,9
234,236,0,0,469,3,28,21
368,0,0,102,464,0,26,15
0,167,0,276,467,0,24,9
67,0,136,116,462,13,22,16
0,0,0,370,465,5,20,10
92,244,124,0,460,0,18,22
0,0,307,0,468,0,16,16
0,0,0,498,463,0,27,10
23,67,0,295,458,0,25,17
0,177,0,316,466,0,23,11
0,98,388,0,461,13,21,18
50,261,60,0,456,13,27,12
138,80,17,73,464,5,25,6
0,386,0,0,477,0,23,0
0,0,64,411,472,7,21,0
0,0,426,0,467,0,33,14
13,0,338,41,462,0,31,8
0,0,204,286,469,0,29,2
0,0,225,112,464,0,36,9
462,0,0,0,459,0,38,7
0,142,0,0,463,0,36,1
0,171,44,192,458,8,34,0
263,0,162,0,453,15,47,15
6,225,0,239,448,7,45,9
0,266,146,0,449,5,43,8
0,343,0,0,444,13,54,2
0,0,0,378,439,9,52,0
0,363,48,0,434,1,50,15
41,307,0,76,429,14,62,9
0,0,374,0,431,6,60,3
0,0,0,495,426,0,74,0
227,0,102,97,421,0,72,7
60,274,0,0,429,0,70,1
252,6,0,136,432,0,68,0
115,0,0,148,434,0,66,0
215,282,0,0,436,0,64,0
0,0,0,475,438,0,62,0
358,74,0,0,433,0,60,7
0,27,33,258,441,0,58,1
154,65,197,18,436,8,64,8
0,0,434,54,436,0,62,2
298,58,0,0,431,0,69,9
0,20,0,445,430,0,67,3
0,0,0,376,425,10,65,10
0,0,492,0,420,2,63,15
279,0,0,209,415,0,76,9
0,0,0,459,423,0,74,3
102,355,0,0,0,0,0,0
25,0,433,0,102,355,0,0
25,0,211,0,122,347,31,0
72,0,197,0,132,339,29,0
0,227,91,33,142,331,27,0
0,31,0,379,137,338,40,15
0,79,365,0,132,330,38,9
161,0,0,145,127,334,48,3
0,10,0,488,128,326,46,0
72,0,0,222,123,328,44,15
0,240,82,143,129,320,42,9
0,0,110,384,124,333,61,24
0,179,0,0,119,325,59,18
0,0,475,17,114,317,57,12
94,253,0,0,109,309,76,23
0,32,253,195,108,301,74,17
31,332,129,0,103,314,93,32
218,208,0,0,98,306,91,26
0,418,0,0,93,298,89,20
48,250,0,120,88,311,87,14
138,36,115,117,104,303,85,8
0,0,40,401,120,295,83,2
247,232,0,0,115,287,98,17
292,0,48,0,114,279,96,11
54,0,442,0,130,271,94,5
0,192,285,0,145,263,92,0
0,0,0,460,140,270,105,0
356,0,0,110,135,262,103,0
247,0,171,0,145,254,101,0
74,0,0,187,155,246,99,0
23,198,0,209,165,238,97,0
0,0,259,165,175,230,95,0
0,222,179,0,170,222,108,15
244,0,180,0,165,220,112,9
0,21,319,0,175,212,110,3
16,0,0,474,170,222,126,0
0,159,27,282,165,214,124,0
158,0,222,14,160,218,134,12
0,178,319,0,155,210,132,6
0,468,0,0,150,220,148,0
0,62,0,357,145,212,146,0
0,464,0,0,140,216,144,12
0,245,221,0,135,217,142,6
0,38,0,433,130,230,161,0
372,0,112,0,125,222,159,0
0,446,0,0,129,214,157,0
0,151,69,0,124,221,155,0
407,0,0,0,119,228,168,0
100,78,36,234,114,220,166,0
165,287,0,0,124,212,164,0
54,99,46,225,134,204,162,0
0,0,101,288,144,196,160,0
0,370,0,35,139,188,173,15
127,109,50,61,134,186,171,15
250,160,14,51,144,178,169,9
0,266,212,0,160,170,167,3
138,138,115,0,155,180,183,0
76,0,383,0,150,172,181,0
289,0,41,54,157,164,179,0
319,0,0,0,167,156,177,0
461,0,0,0,177,148,175,0
0,0,0,471,187,140,173,0
0,440,0,0,182,132,171,15
0,215,0,213,177,145,169,9
270,0,48,0,172,158,167,24
412,0,0,0,167,150,165,18
131,67,0,20,183,142,163,12
0,195,104,70,199,134,161,6
0,0,0,458,194,147,180,21
19,0,250,192,189,139,178,15
97,95,97,155,184,131,176,9
0,191,0,258,200,123,174,3
414,0,0,9,195,133,172,18
0,0,222,247,193,125,170,12
34,258,0,81,188,117,189,27
116,162,0,0,183,109,187,21
295,0,0,0,199,101,185,15
0,79,32,356,215,93,183,9
0,0,480,0,210,106,202,24
0,0,267,38,205,98,200,18
17,112,0,70,200,90,198,12
1,275,98,0,212,86,196,10
0,0,358,75,208,94,210,4
183,191,0,0,203,86,211,3
0,253,188,0,213,78,209,0
130,172,0,16,208,85,222,0
203,0,0,18,203,77,220,0
405,7,0,0,213,69,218,0
488,0,0,0,223,61,216,0
0,6,268,91,233,53,214,0
0,414,0,0,228,51,227,15
0,0,260,225,223,43,225,9
0,380,0,0,218,35,244,24
0,0,0,428,213,27,242,18
0,0,54,151,208,19,240,33
0,278,0,0,203,11,259,48
68,0,303,0,198,3,257,42
405,0,68,0,209,0,255,36
0,338,0,92,217,0,253,30
51,1,196,0,212,13,251,37
308,0,0,158,0,0,0,0
129,0,0,332,308,0,0,158
161,0,201,128,348,0,0,152
0,463,0,0,354,0,0,146
0,146,184,0,349,11,0,140
0,0,162,255,344,22,19,134
0,0,0,346,339,14,19,130
0,0,313,117,334,6,17,143
216,0,151,0,329,0,34,156
421,0,0,0,324,0,32,150
150,0,0,306,326,0,30,144
0,23,0,320,334,0,28,138
120,8,120,191,329,13,26,145
0,400,0,0,332,5,24,139
144,312,22,0,327,18,22,133
377,0,0,1,343,10,20,127
0,0,0,420,359,2,18,121
450,0,0,0,354,0,16,130
248,0,0,0,362,0,14,124
0,238,0,0,370,0,12,118
0,0,436,0,365,13,10,112
342,0,104,18,360,5,29,106
0,212,0,148,373,0,27,100
189,0,0,306,368,13,25,107
0,295,164,0,371,5,23,101
0,207,0,102,366,18,39,95
10,0,298,162,361,13,37,92
0,0,262,215,366,5,43,94
7,0,117,266,361,0,51,98
0,414,0,0,359,0,49,92
0,0,472,0,354,13,47,86
330,0,0,0,349,5,66,80
316,0,0,0,362,0,64,74
0,47,0,356,370,0,62,68
233,0,194,0,365,13,60,75
0,341,115,0,368,5,58,69
0,0,291,209,363,18,74,63
0,401,0,0,358,10,75,60
0,453,0,0,353,20,73,54
135,0,0,275,348,33,71,48
104,251,145,0,364,25,69,42
0,84,0,416,380,17,67,36
0,0,0,480,375,30,65,51
0,0,102,232,370,22,63,45
252,0,0,0,365,14,82,60
180,134,0,0,360,6,80,54
6,0,234,0,374,0,78,48
0,0,0,384,375,0,83,42
156,0,322,0,370,0,81,49
104,0,0,146,378,0,79,43
0,38,138,216,386,0,77,37
0,491,0,0,381,13,88,44
372,49,46,0,376,5,86,38
0,433,0,0,384,0,84,32
127,150,112,81,379,13,82,26
0,325,164,4,395,5,80,20
0,0,348,0,390,18,96,18
36,12,3,71,385,10,94,12
0,203,152,0,400,2,92,6
200,258,0,0,395,15,105,0
388,0,0,23,390,7,103,0
14,0,103,55,399,0,101,0
29,0,0,450,401,0,99,0
34,0,297,108,403,0,97,0
405,0,0,0,405,0,95,0
190,36,0,258,407,0,93,0
334,0,0,0,409,0,91,0
0,306,45,138,411,0,89,0
160,0,332,0,406,7,94,7
0,399,0,79,407,0,92,1
367,75,0,0,402,8,90,8
0,421,0,0,410,0,88,2
173,0,0,255,405,9,86,0
0,0,491,0,415,1,84,0
152,63,87,0,410,0,90,0
51,301,21,0,412,0,88,0
0,449,0,0,414,0,86,0
49,104,141,112,409,7,84,0
26,7,0,409,418,0,82,0
379,114,0,0,420,0,80,0
288,100,0,87,422,0,78,0
417,0,0,0,424,0,76,0
0,13,80,257,426,0,74,0
0,0,282,0,421,7,79,7
10,20,19,449,416,0,83,1
55,224,0,53,419,0,81,0
219,33,77,0,421,0,79,0
0,0,86,336,423,0,77,0
184,0,0,245,418,0,82,7
0,206,142,15,419,0,80,1
188,62,0,173,414,8,86,8
76,330,0,0,414,0,84,2
0,406,0,0,418,0,82,0
0,0,0,430,413,7,80,0
128,0,0,274,408,0,78,14
0,0,115,254,416,0,76,8
29,120,309,0,411,0,87,15
0,0,216,276,406,0,85,9
0,0,0,437,401,0,96,16
0,0,118,174,396,0,94,10
341,0,94,16,0,0,0,0
61,0,125,274,341,0,94,16
95,0,304,13,397,0,93,11
0,0,224,0,404,0,91,5
65,266,59,0,399,0,101,0
76,0,0,374,401,0,99,0
464,0,0,21,403,0,97,0
19,318,0,0,405,0,95,0
435,0,0,0,407,0,93,0
0,419,0,0,409,0,91,0
490,0,0,0,404,7,89,0
8,6,320,104,413,0,87,0
484,0,0,0,415,0,85,0
0,84,216,0,417,0,83,0
205,0,174,49,412,7,88,0
444,0,0,0,414,0,86,0
0,239,0,0,416,0,84,0
71,0,24,85,411,7,82,0
0,439,6,0,420,0,80,0
469,0,0,0,415,7,84,0
387,0,0,0,418,0,82,0
0,0,265,117,420,0,80,0
0,0,480,0,415,0,85,7
105,0,0,336,410,0,89,1
52,0,33,335,413,0,87,0
193,0,256,0,415,0,85,0
32,0,141,246,417,0,83,0
198,0,0,116,419,0,81,0
52,371,0,0,421,0,79,0
389,30,0,0,423,0,77,0
0,0,215,38,425,0,75,0
373,67,0,0,420,0,80,7
0,0,0,241,421,0,78,1
188,88,0,220,416,0,76,8
0,151,94,0,424,0,74,2
302,0,0,168,419,9,81,0
0,356,0,0,420,1,79,0
497,0,0,0,415,8,77,0
0,0,0,179,425,0,75,0
0,0,317,156,420,0,73,7
7,0,0,435,415,0,84,14
76,0,3,40,410,0,82,8
280,19,0,0,418,0,80,2
52,0,269,166,422,0,78,0
0,0,487,0,424,0,76,0
225,52,89,22,419,0,81,0
0,0,223,231,421,0,79,0
351,0,103,0,416,0,84,7
0,0,225,141,417,0,82,1
0,0,0,314,412,0,88,8
430,0,0,0,407,0,86,7
291,0,69,0,415,0,84,1
229,269,0,0,418,0,82,0
223,39,0,223,420,0,80,0
0,97,119,94,422,0,78,0
288,0,193,10,417,7,83,7
0,0,122,312,418,0,81,1
95,9,257,0,413,0,87,8
0,8,369,0,413,0,85,2
184,0,0,29,408,8,92,0
0,173,0,304,410,0,90,0
0,375,0,0,405,7,88,7
200,110,0,116,400,13,86,1
0,0,348,31,411,5,84,0
0,0,499,0,406,0,94,12
239,0,0,0,401,0,93,6
477,0,0,0,409,0,91,0
8,117,315,0,411,0,89,0
0,92,74,108,413,0,87,0
157,7,206,0,408,7,92,7
0,0,310,0,409,0,90,1
0,127,111,203,404,0,96,0
0,83,394,16,399,7,101,7
173,149,0,0,394,6,105,7
0,118,0,364,396,0,103,1
237,97,73,1,391,8,101,8
209,65,179,0,399,0,99,2
0,0,440,46,403,0,97,0
0,0,0,494,398,0,102,7
388,0,0,75,393,0,100,7
44,301,0,115,401,0,98,1
472,0,0,0,404,0,96,0
93,178,0,218,406,0,94,0
0,0,184,277,408,0,92,0
70,48,347,0,403,0,97,7
0,226,164,0,404,0,95,1
26,43,0,338,399,8,101,0
0,0,0,365,401,0,99,0
0,95,0,374,396,0,97,7
137,297,0,0,391,13,95,14
158,298,0,0,394,5,93,8
103,0,123,109,407,0,91,2
287,44,0,0,411,0,89,0
0,98,37,307,413,0,87,0
45,0,115,127,408,7,92,7
274,0,0,0,409,0,90,1
199,0,188,96,412,0,88,0
407,0,0,0,414,0,86,0
281,0,0,0,416,0,84,0
463,0,0,21,418,0,82,0
0,345,72,0,0,0,0,0
139,68,0,0,0,345,72,0
192,0,0,273,93,337,70,0
0,59,233,148,103,329,68,0
470,0,0,0,98,336,81,15
276,204,16,0,93,328,79,9
0,108,185,139,100,320,77,3
256,0,0,220,95,330,93,18
26,198,0,186,90,322,91,12
0,19,114,0,91,314,89,6
183,0,0,123,86,325,108,0
0,189,63,0,81,317,106,0
283,0,0,200,76,320,115,0
0,0,271,57,75,312,113,0
41,113,0,234,70,304,126,15
0,105,0,366,71,296,124,9
0,18,121,292,66,309,122,24
0,398,2,0,61,301,120,18
189,308,0,0,56,314,120,12
92,0,0,404,70,306,118,6
32,387,0,0,86,298,116,0
368,0,0,0,96,290,114,0
462,0,0,0,106,282,112,0
65,320,0,0,116,274,110,0
5,64,0,371,126,266,108,0
0,455,0,0,126,268,106,10
40,0,449,0,121,271,104,4
74,378,0,0,135,263,102,0
0,0,0,339,145,255,100,0
23,0,378,38,140,247,98,15
0,0,0,414,156,239,96,9
0,475,0,0,151,231,94,24
287,2,0,0,146,244,92,18
212,22,0,121,162,236,90,12
433,58,0,0,178,228,88,6
299,0,0,0,194,220,86,0
296,93,0,0,204,212,84,0
147,0,328,0,214,204,82,0
183,162,3,14,224,196,80,0
254,174,0,62,234,188,78,0
296,0,0,7,244,180,76,0
0,444,0,0,254,172,74,0
18,137,0,43,249,179,72,0
0,0,0,256,259,171,70,0
62,74,234,75,254,163,68,15
123,0,0,307,270,155,66,9
0,134,0,85,286,147,64,3
0,353,0,48,281,157,62,18
0,0,222,189,276,152,60,15
307,0,0,128,271,144,76,27
0,0,202,264,269,136,74,21
255,0,91,0,264,128,93,36
0,0,183,306,259,120,91,30
0,53,44,375,254,112,110,45
0,0,0,339,249,104,108,39
0,243,58,0,244,96,106,54
378,0,90,0,239,109,125,48
335,0,0,54,234,101,123,42
199,79,0,0,250,93,121,36
0,383,0,0,266,85,119,30
0,455,0,0,261,98,117,24
0,0,0,459,256,111,115,18
0,0,396,0,251,103,113,33
0,0,0,371,246,95,132,27
330,168,0,0,241,87,130,42
0,144,0,198,257,79,128,36
240,258,0,0,252,92,126,51
29,3,142,180,247,84,124,45
76,135,0,44,263,76,122,39
0,0,0,450,279,68,120,33
20,145,0,0,274,60,118,48
335,67,0,75,289,53,116,42
0,71,123,220,305,45,114,36
220,0,0,274,300,58,133,51
0,434,0,0,295,50,131,45
0,147,0,275,290,42,129,39
150,0,303,0,285,55,127,54
60,134,0,276,280,47,125,48
0,225,0,0,296,39,123,42
328,0,160,0,291,52,121,36
0,0,0,444,307,44,119,30
0,0,356,142,302,36,117,45
169,0,0,242,297,28,136,60
0,94,0,280,292,20,134,54
0,118,0,0,287,33,132,69
0,383,110,0,282,25,130,63
0,0,369,0,277,38,149,57
0,487,0,0,272,30,147,51
0,221,0,0,267,43,145,45
0,0,449,0,262,56,143,39
4,0,376,0,257,48,162,33
236,220,0,0,256,40,177,27
0,0,46,326,272,32,175,21
95,203,61,0,267,24,194,36
11,460,0,0,262,16,192,30
182,0,52,26,268,18,190,24
377,49,0,0,284,10,188,18
0,221,0,218,300,2,186,12
250,203,0,3,295,15,184,21
66,0,0,392,296,7,182,15
452,0,0,0,0,0,0,0
247,202,29,0,452,0,0,0
0,121,0,178,500,0,0,0
0,0,384,0,495,5,0,5
172,0,0,228,490,0,10,0
0,0,0,368,492,0,8,0
24,51,424,0,487,0,6,7
266,0,2,208,495,0,4,1
0,92,0,360,498,0,2,0
411,0,0,0,493,7,0,7
102,367,0,0,499,0,0,1
0,269,1,230,500,0,0,0
325,0,122,0,495,5,1,5
108,377,0,0,500,0,0,0
112,0,368,0,500,0,0,0
0,19,349,0,500,0,0,0
451,0,0,0,495,5,5,0
0,362,0,50,497,0,3,0
0,0,421,0,492,7,1,7
299,0,0,0,487,0,12,1
0,383,0,0,490,0,10,0
0,48,138,310,485,7,8,0
0,165,120,0,480,14,20,14
71,87,127,0,475,6,18,8
234,210,0,0,482,0,16,2
0,159,0,217,486,0,14,0
0,0,82,371,481,7,12,7
405,0,0,71,476,0,23,14
97,144,0,80,471,0,21,8
284,0,0,26,479,0,19,2
111,111,0,268,483,0,17,0
0,0,0,397,485,0,15,0
135,0,0,291,480,0,13,7
307,0,0,0,488,0,11,1
59,173,55,0,491,0,9,0
0,100,168,47,493,0,7,0
270,0,0,0,488,7,12,7
362,0,0,72,489,0,10,1
0,481,0,0,492,0,8,0
0,0,0,469,487,7,6,0
174,229,0,0,482,0,4,14
0,224,45,88,490,0,2,8
375,55,0,5,485,13,13,15
0,0,180,252,480,5,11,9
227,0,56,86,475,0,22,16
338,142,0,0,470,0,20,10
1,0,0,307,478,0,18,4
85,224,0,112,474,0,16,10
0,162,100,199,482,0,14,4
0,0,392,0,477,11,23,11
0,60,0,121,472,3,21,5
478,0,0,0,467,14,19,14
332,0,163,0,469,6,17,8
327,0,0,137,483,0,15,2
0,191,221,0,487,0,13,0
243,0,0,119,482,7,18,0
73,43,245,0,484,0,16,0
0,20,431,0,486,0,14,0
0,2,134,250,481,7,19,0
51,401,0,16,476,2,24,7
108,28,154,0,477,0,22,1
0,0,284,0,480,0,20,0
0,0,427,0,475,0,25,0
122,76,0,267,470,0,30,0
6,44,349,0,472,0,28,0
107,0,0,361,473,1,27,0
0,36,0,247,475,0,25,0
0,93,167,210,470,7,23,7
211,196,4,15,465,13,34,14
130,37,0,169,460,5,32,8
46,0,0,255,468,0,30,2
0,362,0,0,472,0,28,0
243,0,1,0,467,7,26,0
0,0,0,379,476,0,24,0
23,4,283,0,471,0,22,7
0,483,0,0,479,0,20,1
416,0,0,0,474,8,18,0
190,0,0,209,484,0,16,0
140,0,144,0,486,0,14,0
387,102,0,0,488,0,12,0
0,86,0,398,490,0,10,0
10,226,262,0,485,7,8,7
48,0,0,364,490,3,9,1
19,0,297,128,493,0,7,0
0,22,0,441,495,0,5,0
0,365,0,0,490,7,3,7
81,0,124,167,485,13,1,1
129,0,247,0,495,5,0,0
314,0,0,159,500,0,0,0
495,0,0,0,500,0,0,0
69,0,363,0,500,0,0,0
26,30,384,0,500,0,0,0
0,295,187,0,500,0,0,0
0,0,0,422,495,5,5,0
344,0,21,0,490,0,3,7
0,79,372,0,498,0,1,1
0,333,0,0,493,7,7,0
51,66,287,0,488,7,5,0
0,64,187,0,497,0,3,0
34,0,433,0,492,7,8,0
93,0,0,166,0,0,0,0
469,0,0,0,93,0,0,166
0,0,249,49,340,0,0,160
30,0,104,67,335,0,11,165
355,0,92,0,332,0,9,159
434,0,24,0,340,0,7,153
19,164,280,0,348,0,5,147
0,0,462,0,356,0,3,141
282,0,81,0,351,0,14,135
0,52,167,0,359,0,12,129
42,204,0,126,354,13,23,123
129,0,204,161,357,5,21,117
0,0,0,422,370,0,19,111
61,213,156,0,365,0,17,118
42,144,0,221,373,0,15,112
0,41,0,295,381,0,13,106
139,0,0,144,376,13,11,113
0,420,0,0,379,5,9,107
291,39,0,104,374,18,7,101
0,0,135,313,390,10,5,95
423,42,0,0,385,2,24,110
0,0,366,0,380,0,22,104
0,270,54,0,375,0,27,98
130,43,213,83,370,13,38,92
136,0,213,0,373,5,36,86
88,197,215,0,386,0,34,80
0,458,0,19,394,0,32,74
0,226,0,272,389,13,30,81
0,0,180,318,384,13,28,83
0,285,0,0,379,5,39,90
0,0,178,283,374,5,37,84
58,0,380,0,369,0,53,96
53,0,292,12,364,0,51,90
0,160,135,135,367,0,49,84
0,0,0,443,362,13,60,91
142,42,130,0,357,5,58,85
0,0,352,27,365,0,56,79
0,22,475,0,360,0,67,86
0,19,422,0,355,0,65,80
0,0,83,410,350,13,76,74
0,27,250,221,345,5,82,76
42,0,243,142,340,10,90,80
178,0,287,0,336,2,88,74
194,0,134,0,346,0,86,68
7,0,116,326,354,0,84,62
0,0,255,164,356,0,88,62
0,358,0,0,351,0,93,63
0,287,80,0,346,6,91,57
0,461,0,0,341,19,108,51
303,0,0,193,336,13,106,45
482,0,0,7,352,5,104,39
47,21,94,335,365,0,102,33
0,151,0,331,373,0,100,27
440,0,0,0,368,13,98,34
28,328,0,0,371,5,96,28
73,329,0,66,384,0,94,22
0,481,0,0,392,0,92,16
10,204,0,222,387,13,90,10
238,0,0,247,392,16,88,15
0,488,0,0,397,8,86,9
0,429,0,0,392,21,84,3
0,243,186,0,387,31,82,0
0,0,284,122,382,38,95,0
137,0,0,327,377,30,93,0
496,0,0,0,387,22,91,0
0,0,323,60,397,14,89,0
0,276,95,70,392,6,102,15
0,322,0,0,387,4,104,13
0,473,0,0,382,9,102,7
0,491,0,0,377,22,100,1
38,0,33,307,372,30,98,0
0,0,208,152,382,22,96,0
0,0,486,0,377,14,109,15
55,0,122,241,372,6,113,9
27,86,127,68,386,0,111,3
488,0,0,0,391,0,109,0
0,336,62,70,393,0,107,0
0,53,298,107,388,7,112,7
0,0,261,89,383,6,116,7
0,34,199,149,378,0,121,8
68,0,258,0,373,6,125,8
0,44,0,335,375,0,123,2
43,0,51,336,370,9,121,9
0,0,421,43,377,1,119,3
94,0,0,133,372,0,128,11
0,0,0,291,369,0,126,5
0,281,0,0,364,0,124,12
0,0,0,419,359,13,122,6
0,0,0,397,354,5,120,21
164,163,91,0,349,0,118,33
0,403,0,0,357,0,116,27
16,148,34,208,352,13,114,21
202,202,27,0,363,10,117,20
87,167,0,0,369,2,115,14
0,285,81,115,379,0,113,8
114,0,247,0,374,13,124,15
0,273,149,0,369,5,122,9
145,0,52,250,364,13,133,3
269,0,160,0,364,5,131,0
375,70,0,0,371,0,129,0
225,198,35,0,0,0,0,0
0,261,74,33,225,198,35,0
0,0,0,480,220,247,90,33
81,409,0,0,215,239,88,27
0,0,466,27,210,231,86,21
0,0,91,349,205,223,84,15
353,0,0,0,200,215,82,9
0,0,0,330,210,207,80,3
0,0,472,0,205,199,78,18
0,60,327,0,200,191,97,12
0,0,0,474,195,204,116,6
0,420,79,0,190,196,114,0
0,0,251,0,185,203,127,0
138,214,118,0,180,195,125,0
0,0,396,64,190,187,123,0
0,306,0,0,185,179,136,15
0,127,187,114,180,177,134,9
296,0,0,93,175,190,153,24
0,0,0,327,170,182,151,18
108,175,0,15,165,174,149,12
293,0,190,0,181,166,147,6
66,87,43,250,197,158,145,0
320,0,7,0,207,150,143,0
403,0,0,0,217,142,141,0
58,341,0,0,227,134,139,0
0,0,73,279,237,126,137,0
81,0,82,0,232,118,150,15
0,27,54,306,233,110,148,9
0,376,0,0,228,123,167,24
259,0,0,0,223,115,165,18
0,70,74,247,218,107,163,12
0,295,170,0,213,120,182,27
34,177,274,0,208,112,180,21
358,0,108,0,203,104,178,15
0,0,100,357,219,96,176,9
57,313,0,0,214,88,195,24
0,188,0,304,209,80,193,18
55,0,139,0,204,93,191,33
273,43,29,0,199,85,189,27
28,211,88,168,215,77,187,21
20,0,337,0,231,69,185,15
0,0,131,215,246,61,184,9
0,69,304,0,241,53,203,24
0,0,408,0,236,45,201,18
0,0,133,126,231,37,220,12
329,0,38,59,226,29,239,27
0,167,0,94,221,21,237,21
476,0,0,0,216,34,235,36
115,339,19,0,211,26,233,30
0,419,0,0,227,18,231,24
0,0,0,176,222,31,229,18
109,0,0,144,217,23,227,33
96,0,266,0,233,15,225,27
293,129,20,0,249,7,223,21
425,0,0,0,264,0,221,15
380,0,0,0,272,0,219,9
0,439,0,0,280,0,217,3
256,27,0,210,275,10,215,0
41,156,22,182,285,2,213,0
0,250,197,0,289,0,211,0
275,55,0,106,284,7,216,0
156,166,171,6,286,0,214,0
0,0,0,404,288,0,212,0
213,256,0,0,283,0,210,7
154,57,80,0,291,0,208,1
182,0,0,284,294,0,206,0
0,156,207,15,296,0,204,0
213,0,207,43,291,7,209,7
193,278,0,0,292,0,207,1
0,492,0,0,295,0,205,0
0,0,0,373,290,7,203,0
229,0,0,228,285,0,201,14
0,349,0,0,293,0,199,8
48,0,271,0,288,13,197,2
0,0,103,286,300,5,195,0
0,25,222,0,295,0,205,12
0,488,0,0,290,1,204,6
0,0,436,0,285,13,202,0
0,86,406,0,280,5,215,0
0,492,0,7,275,12,225,0
442,0,7,0,270,7,223,3
38,347,0,0,279,0,221,0
0,8,436,0,281,0,219,0
0,166,269,50,276,7,224,0
0,76,328,0,271,7,229,7
0,445,0,0,266,6,233,1
351,0,0,52,261,8,231,0
437,0,0,0,271,0,229,0
435,0,0,0,273,0,227,0
421,0,0,0,275,0,225,0
0,317,172,0,277,0,223,0
152,220,0,0,272,7,228,0
270,214,0,0,274,0,226,0
0,0,290,27,276,0,224,0
252,0,213,0,271,0,229,7
77,0,70,292,272,0,227,1
53,0,175,271,275,0,225,0
30,278,8,0,277,0,223,0
0,302,120,0,279,0,221,0
33,0,287,0,274,7,226,0
3,0,0,189,0,0,0,0
0,413,40,0,3,0,0,189
0,288,0,203,0,317,40,183
118,119,0,62,0,309,38,177
0,78,0,343,0,301,36,171
218,185,23,0,0,301,34,173
194,5,119,0,8,293,32,167
130,0,0,190,24,285,30,161
0,233,176,0,40,277,28,155
0,0,92,278,35,290,47,149
86,0,0,348,30,282,45,143
166,0,300,0,46,274,43,137
454,0,0,0,62,266,41,131
125,299,0,0,78,258,39,125
292,0,147,12,94,250,37,119
0,0,491,0,110,242,35,113
227,49,159,0,105,234,54,107
78,224,15,112,121,226,52,101
0,0,0,177,137,218,50,95
385,0,0,0,132,210,48,110
0,52,446,0,148,202,46,104
50,430,0,0,143,215,65,98
0,259,204,0,138,207,63,92
0,57,104,92,133,220,82,86
0,0,0,337,128,212,80,80
0,0,25,419,123,204,78,95
0,0,376,0,118,196,97,110
0,17,0,472,113,188,95,104
0,254,101,0,108,197,93,119
0,14,373,110,103,193,95,113
87,0,189,0,98,199,110,124
138,0,356,0,93,191,108,118
0,0,0,346,99,183,106,112
0,434,0,0,94,175,104,127
0,15,108,311,89,188,102,121
358,20,0,0,84,195,121,136
0,64,64,350,79,187,119,130
380,0,54,0,74,185,123,130
120,0,99,0,78,177,121,124
169,61,100,18,94,169,119,118
59,102,0,320,110,161,117,112
0,0,197,80,126,153,115,106
188,78,0,128,121,145,134,121
19,80,351,29,116,137,132,115
426,0,61,0,130,131,132,111
0,487,0,0,142,123,130,105
34,0,0,248,137,136,128,99
452,0,0,0,153,128,126,93
0,83,0,295,169,120,124,87
221,121,0,134,164,133,122,102
